1. DEPTH      = 2, WEIGHT_DECAY = 0.1, 
Epoch 001/100 | train 2.1058 | val 2.0525 | test 2.0439
Epoch 002/100 | train 2.0238 | val 2.0032 | test 2.0036
Epoch 003/100 | train 2.0011 | val 1.9851 | test 1.9903
Epoch 004/100 | train 1.9389 | val 1.9229 | test 1.9173
Epoch 005/100 | train 1.8900 | val 1.8998 | test 1.8649
Epoch 006/100 | train 1.8532 | val 1.8799 | test 1.8515
Epoch 007/100 | train 1.8094 | val 1.8653 | test 1.8099
Epoch 008/100 | train 1.7700 | val 1.8115 | test 1.7699
Epoch 009/100 | train 1.7483 | val 1.7926 | test 1.7554
Epoch 010/100 | train 1.7271 | val 1.7882 | test 1.7518
Epoch 011/100 | train 1.6877 | val 1.7828 | test 1.7346
Epoch 012/100 | train 1.6768 | val 1.7864 | test 1.7366
Epoch 013/100 | train 1.6408 | val 1.7445 | test 1.7017
Epoch 014/100 | train 1.6255 | val 1.7083 | test 1.6509
Epoch 015/100 | train 1.6044 | val 1.6822 | test 1.7025
Epoch 016/100 | train 1.5945 | val 1.6684 | test 1.6808
Epoch 017/100 | train 1.5585 | val 1.6876 | test 1.6494
Epoch 018/100 | train 1.5523 | val 1.6269 | test 1.6879
Epoch 019/100 | train 1.5165 | val 1.6310 | test 1.6461
Epoch 020/100 | train 1.5149 | val 1.6054 | test 1.6244
Epoch 021/100 | train 1.5127 | val 1.6119 | test 1.6046
Epoch 022/100 | train 1.4601 | val 1.5741 | test 1.6056
Epoch 023/100 | train 1.4716 | val 1.6110 | test 1.6007
Epoch 024/100 | train 1.4620 | val 1.5496 | test 1.5743
Epoch 025/100 | train 1.4219 | val 1.6280 | test 1.6514
Epoch 026/100 | train 1.4539 | val 1.5646 | test 1.5936
Epoch 027/100 | train 1.4151 | val 1.5938 | test 1.5744
Epoch 028/100 | train 1.4014 | val 1.5476 | test 1.5665
Epoch 029/100 | train 1.3894 | val 1.5320 | test 1.5859
Epoch 030/100 | train 1.3560 | val 1.5785 | test 1.5923
Epoch 031/100 | train 1.3787 | val 1.5380 | test 1.5705
Epoch 032/100 | train 1.3394 | val 1.5647 | test 1.5802
Epoch 033/100 | train 1.3356 | val 1.5363 | test 1.5420
Epoch 034/100 | train 1.3301 | val 1.5223 | test 1.5286
Epoch 035/100 | train 1.3144 | val 1.5054 | test 1.4970
Epoch 036/100 | train 1.2946 | val 1.5544 | test 1.5516
Epoch 037/100 | train 1.3106 | val 1.5421 | test 1.5570
Epoch 038/100 | train 1.2912 | val 1.5551 | test 1.5882
Epoch 039/100 | train 1.2948 | val 1.4874 | test 1.5331
Epoch 040/100 | train 1.2757 | val 1.5009 | test 1.5077
Epoch 041/100 | train 1.2549 | val 1.5234 | test 1.5433
Epoch 042/100 | train 1.2392 | val 1.5386 | test 1.5390
Epoch 043/100 | train 1.2519 | val 1.4838 | test 1.5194
Epoch 044/100 | train 1.2314 | val 1.5113 | test 1.5099
Epoch 045/100 | train 1.2174 | val 1.5614 | test 1.5550
Epoch 046/100 | train 1.2289 | val 1.5200 | test 1.5323
Epoch 047/100 | train 1.2016 | val 1.4919 | test 1.5015
Epoch 048/100 | train 1.2074 | val 1.5363 | test 1.4931
Epoch 049/100 | train 1.1992 | val 1.5179 | test 1.4916
Epoch 050/100 | train 1.1928 | val 1.5154 | test 1.5246
Epoch 051/100 | train 1.1798 | val 1.5007 | test 1.4912
Epoch 052/100 | train 1.1635 | val 1.4937 | test 1.5103
Epoch 053/100 | train 1.1365 | val 1.5325 | test 1.5292
Epoch 054/100 | train 1.1607 | val 1.5199 | test 1.4978
Epoch 055/100 | train 1.1443 | val 1.5370 | test 1.5310
Epoch 056/100 | train 1.1441 | val 1.5191 | test 1.5195
Epoch 057/100 | train 1.1334 | val 1.5063 | test 1.5321
Epoch 058/100 | train 1.1131 | val 1.4962 | test 1.5100
Epoch 059/100 | train 1.1063 | val 1.4840 | test 1.4920
Epoch 060/100 | train 1.1169 | val 1.5469 | test 1.5600
Epoch 061/100 | train 1.1035 | val 1.4895 | test 1.4833
Epoch 062/100 | train 1.0902 | val 1.5039 | test 1.4882
Epoch 063/100 | train 1.1028 | val 1.5001 | test 1.5179
Epoch 064/100 | train 1.0972 | val 1.5089 | test 1.5254
Epoch 065/100 | train 1.0646 | val 1.5162 | test 1.5167
Epoch 066/100 | train 1.0708 | val 1.5362 | test 1.5205
Epoch 067/100 | train 1.0735 | val 1.5394 | test 1.5227
Epoch 068/100 | train 1.0693 | val 1.5038 | test 1.5079
Epoch 069/100 | train 1.0681 | val 1.5109 | test 1.5170
Epoch 070/100 | train 1.0661 | val 1.5524 | test 1.5535
Epoch 071/100 | train 1.0490 | val 1.5155 | test 1.5224
Epoch 072/100 | train 1.0403 | val 1.5177 | test 1.5127
Epoch 073/100 | train 1.0413 | val 1.5255 | test 1.5242
Epoch 074/100 | train 1.0368 | val 1.5417 | test 1.5363
